#,PLAYER,PTS,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,STATUS,BYE
82,"Evans, Mike TBB WR",132.1,8.81,B,15.3,6.7,12.7,4.9,15.5,14.8,6,1.3, ,9.2,7.8,3.3,2.5,13.9,10.7,7.5,Tecmo Bowls,1
83,"Funchess, Devin CAR WR",132,8.25,2,6.8,5.8,19,11.3,3.6,4.1,1.1,8.6,21.2,B,10.8,12,11.9,1.9,1.1,10.8,Marauders - IR,11
84,"Agholor, Nelson PHI WR",131.5,8.22,14.6,6.9,2,5.8,15.3,11.5,10.5,2.6,3.6,B,-0.2,15.2,20.1,6.4,11.9,3.5,1.8,Free Agent,10
85,"Murray, DeMarco TEN RB",131.5,8.77,6,2.8,18,3.5,3.9,14.7,7.6,B,4.1,25.2,4.7,10.2,7.9,4.7,6.3,11.9, ,Free Agent,8
86,"Tate, Golden DET WR",131.5,8.22,11.4,2.5,11.8,3.1,4.8,15.6,B,5.6,11.3,15.7,3.2,2,6.9,14.5,3.3,1.4,18.4,Free Agent,7
87,"Forbath, Kai MIN PK",130,8.12,11,3,10,1,8,11,18,13,B,8,6,6,2,10,10,10,3,Free Agent,9
88,"Prater, Matt DET PK",130,8.12,5,6,14,6,6,8,B,15,12,8,9,11,2,6,8,5,9,Free Agent,7
89,"Hundley, Brett GBP QB",127.6,11.6, , , ,0, ,3.6,10.9,B,18,16.1,-0.5,28.4,7,31.7, ,4,8.4,Free Agent,8
90,"Ertz, Zach PHI TE",127.4,9.1,9.3,9.7,8.5,8.1,12.1,13.8,14.9,9.4, ,B,0.8,16.3,2.4, ,11.6,8.1,2.4,Super Mojo Juggernaut (Q),10
91,"McKinnon, Jerick MIN RB",125.1,7.82,3.7,2.5,0.4,-3,20.6,18.9,5.7,20.2,B,4.7,6,5.4,11.2,5.5,13.8,5.1,4.4,Free Agent (I),9
92,"Henry, Derrick TEN RB",124,7.75,2.5,15.2,6.4,0.7,0.9,20.5,2.4,B,9.6,5.2,3.2,8.9,16.9,8,2.8,3.1,17.7,Honkey Kong,8
93,"Thomas, Demaryius DEN WR",121.9,7.62,6.7,7.1,9.8,1.1,B,10.3,0.9,6.6,13,10.4,12.4,1.8,2.7,15.3,6.9,5.2,11.7,Vision (I),5
94,"Powell, Bilal NYJ RB",121.2,8.08,3.9,1.3,9.7,25,3.3, ,8.3,6.1,7.4,0.6,B,4.6,11,3.5,10.4,20.5,5.6,Free Agent (I),11
95,"Gano, Graham CAR PK",121,7.56,11,9,7,9,9,11,3,5,8,9,B,9,3,7,7,10,4,Free Agent (I),11
96,"Allen, Javorius BAL RB",120.1,7.51,7.1,16.1,2.8,4.4,14.5,6.6,4.9,5.7,12.5,B,1.7,7.7,2.6,17.7,7.4,4.7,3.7,Marauders,10
97,"Dawson, Phil ARI PK",119,7.44,5,10,5,12,1,8,0,B,8,4,3,13,4,12,15,5,14,Free Agent (I),8
98,"Darkwa, Orleans NYG RB",118.7,7.91,1.3,2,3.3, ,13.2,13,4.8,B,7.9,10.8,15,3.9,9.1,4.4,7.6,1,21.4,Free Agent,8
99,"Williams, Jamaal GBP RB",117.8,7.36,0.9,1.1,0.6,1.3,0.1,0,0,B,9.2,7.4,9.5,25.5,18.3,23.8,3,5.8,11.3,Cooter Brown's Poon Hounds,8
100,"Hilton, T.Y. IND WR",117.6,7.35,2.7,4.9,21.3,3,17.7,1.9,2.7,1.5,29.5,2.3,B,1.5,11.1,2,4.1,10,1.4,Marauders (Q),11
101,"Elliott, Jake PHI PK",117,7.8, ,8,9,14,10,8,10,7,9,B,1,7,4,13,10,7,0,Free Agent,10
102,"Bryant, Dez DAL WR",116.4,7.28,4.3,11.9,7.2,9.8,11.2,B,12.3,3.9,7.3,3.9,6.3,3.7,12.1,13.3,5.5,1.3,2.4,Free Agent (I),6
103,"Hauschka, Steven BUF PK",116,7.25,3,3,14,11,10,B,12,10,3,4,6,10,3,1,6,10,10,Free Agent,6
104,"Stills, Kenny MIA WR",114.7,7.17,B,9.7,5.1,1.3,1.3,10.9,20.5,6.5,2.8,6.7,24,4.7,12.8,1.8,0.8,2.4,3.4,Ace,1
105,"Crowell, Isaiah CLE RB",114.5,7.16,8.6,3.7,5.4,2.7,6.7,7.3,7.1,14.8,B,15.5,1.8,10.5,4.4,13.1,6.5,4.3,2.1,The Worst to First All Stars (I),9
106,"Graham, Jimmy SEA TE",114,7.12,0.8,0.1,7.2,6.1,9.7,B,11.1,15.9,5.9,14.7,13.8,9.4,8.6,0,-0.1,6.3,4.5,Ace,6
107,"Kupp, Cooper LAR WR",113.9,7.59,13.6,3.3,1.7,12,4.4,3.5,11.1,B,5.4,4.7,3.4,11.6,6.8,17.8,2.1,12.5, ,Free Agent (I),8
108,"Crabtree, Michael OAK WR",113.8,8.13,8.3,26,0.7, ,14.2,11.2,8.4,8.3,4,B,7.1,0, ,8,15.9,0,1.7,Free Agent,10
109,"Palmer, Carson ARI QB",113.3,16.19,7.9,16.9,25.7,17.4,17.6,25.9,1.9,B, , , , , , , , , ,Free Agent,8
110,"Goodwin, Marquise SFO WR",112.6,7.04,2.1,2.6,6.2,1.8,11.6,3.2,8,0,6.8,16.1,B,7.8,9.9,10.6,12.4,3.7,9.8,Free Agent (Q),11
111,"Kearse, Jermaine NYJ WR",111,6.94,5.9,18.4,4.2,1.7,9.8,7.9,8.9,1.4,3.8,3.5,B,16.5,15.7,0.4,2.8,4.2,5.9,Free Agent (Q),11
112,"Cooper, Amari OAK WR",110.4,7.89,12.2,3.3,0.6,0.9,0.8,2.8,33,5.2,5.8,B,8.8,6.9, ,0, ,12.6,17.5,Marauders,10
113,"Thompson, Chris WAS RB",110.4,11.04,11.6,22.6,24.8,-0.3,B,13.8,12.4,6.4,3.1,6.7,9.3, , , , , , ,Ace,5
114,"Engram, Evan NYG TE",109.6,7.31,4.4,10.9,4.5,6.2,0,14.2,12,B,13,9.1,0.9,1.8,15.9,5.4,10.1,1.2, ,Straight Ballin,8
115,"Mixon, Joe CIN RB",109.3,7.81,2.4,4.1,10.1,4.8,11.1,B,6.8,7.9,10.6,10,4.9,22.5,4.2, , ,3.2,6.7,Super Mojo Juggernaut,6
116,"Sanu, Mohamed ATL WR",109.3,7.29,4.7,8.5,8.8,0.7,B, ,6.5,13.4,8.3,2.9,9.7,14.4,4.3,14.3,2.6,3.1,7.1,Free Agent,5
117,"Ajayi, Jay PHI RB",109.1,7.79, ,12.6,2.5,5.4,4.9,13,7.7,4.1,13.7,B,10.1,3.3,4.6,8,8.9,10.3, ,Free Agent (I),10
118,"Vinatieri, Adam IND PK",109,7.27,3,7,7,4,14,10, ,11,8,5,B,10,4,1,7,10,8,Ace,11
119,"Bernard, Giovani CIN RB",108.7,6.79,7.9,2.6,9.9,13.9,3.2,B,0.7,0.5,-0.6,4.8,0.4,2.7,9.6,13,10.3,22.8,7,Free Agent,6
120,"Drake, Kenyan MIA RB",108.3,6.77,B,-0.3,0.2,1.1,0,0,0,2.2,9.4,15.2,1.4,7.7,20.1,19.3,17.3,5.7,9,Vision,1
121,"Watkins, Sammy LAR WR",107.3,7.15,5.8,3,22.6,1.7,0,1.1,4.2,B,12.7,10.1,3.6,14.2,9.8,8.1,1.4,9, ,The Worst to First All Stars - IR,8
122,"Ginn Jr., Ted NOS WR",106.6,7.11,5.8,2.4,11.9,3.4,B,12.9,14.1,6.8,11.9,0.3,7.5,7.1,3.3,0.7, ,15,3.5,Free Agent,5
123,"Richardson, Paul SEA WR",106.3,6.64,5.9,7.9,9,6.5,3.5,B,12.1,22.5,4.1,4.3,5.6,7,0.8,13.2,1.8,2.1,0,Free Agent (I),6
124,"Woods, Robert LAR WR",106.3,8.86,5.3,0.8,10.8,1.7,7.4,4,6.3,B,19,29.1,8.1, , , ,10.5,3.3, ,Vision,8
125,"Stewart, Jonathan CAR RB",106.2,7.08,14.2,4,6.1,3.8,4.4,-0.4,4.8,9.4,-3.9,11,B,8.6,10.5,28.3,3.6,1.8, ,Free Agent (I),11
126,"Catanzaro, Chandler NYJ PK",104,6.5,6,8,8,11,5,5,4,8,10,4,B,9,12,0,7,1,6,Free Agent,11
127,"Matthews, Rishard TEN WR",103.2,7.37,7.1,4.3,14.7,4.9,3.1,6.9,4,B,13,5,17.3, , ,1.9,15.5,4.8,0.7,Free Agent (I),8
128,"Rudolph, Kyle MIN TE",101.2,6.32,8.6,4.5,0.4,3.4,10.5,4.7,4.3,8.7,B,3.7,5.8,18.3,9.6,10.1,7.7,0.6,0.3,Free Agent,9
129,"Riddick, Theo DET RB",100,6.25,8.6,3.7,3.8,1.2,5.3,5.3,B,4.5,7.3,10.7,3.9,3,12.2,21.3,3.1,3.9,2.2,Free Agent (Q),7
130,"Walsh, Blair SEA PK",100,6.25,9,6,3,8,10,B,6,11,0,8,11,6,6,6,1,3,6,Free Agent,6
131,"Burkhead, Rex NEP RB",99.8,9.98,2.3,10.4, , , , ,4.2,8.3,B,12.3,3.7,17.3,22.3,11.3,7.7, , ,Free Agent,9
132,"Wallace, Mike BAL WR",99.2,6.61,0.8,0.7,1,11.5,13.3,3,0.9, ,7.9,B,11.6,4.8,11.6,7.2,8.9,6,10,Free Agent (Q),10
133,"McManus, Brandon DEN PK",99,6.19,6,6,10,10,B,4,0,7,11,10,5,2,3,11,5,3,6,Free Agent,5
134,"Blount, LeGarrette PHI RB",98.6,6.16,10.7,0,12.7,15.6,7.4,8.7,2.9,11.2,3.7,B,5.7,6.7,2.6,2.3,2.1,1.5,4.8,Vision,10
135,"Walker, Delanie TEN TE",98.5,6.16,7.6,12.2,3.1,5.1,2.5,1.4,3.3,B,7.1,6.3,9.2,12.3,12.3,4.2,6.7,3.3,1.9,Free Agent (I),8
136,"Abdullah, Ameer DET RB",98.4,7.03,4.1,8.6,8.6,16.9,3.4,5.4,B,3.8,8.7,11.5,9.5,4.3, , ,2.1,2.6,8.9,Free Agent,7
137,"Cohen, Tarik CHI RB",97.1,6.07,17.3,3.8,10.2,4.8,0.7,8.4,7,6.8,B,1.1,11.9,-0.3,10.4,8.5,1.7,2.1,2.7,Cooter Brown's Poon Hounds,9
138,"Benjamin, Travis LAC WR",96.3,6.02,10.3,1.1,11.4,2.1,3.2,0,16.6,13.8,B,1.3,2.8,5.6,6.8,4.3,1.4,-0.4,16,Free Agent,9
139,"Garoppolo, Jimmy SFO QB",95.9,15.98, , , , , , , , , , ,B,7.1,9.5,16.1,20.6,25,17.6,Free Agent (I),11
140,"Brate, Cameron TBB TE",95.1,5.94,B,2.4,9.3,14,12.8,13.6,6,6.4,0.9,1,1.2,0.6,15.9,1.1,4.9,1.3,3.7,Super Mojo Juggernaut (Q),1
141,"Williams, Tyrell LAC WR",93.8,5.86,5.4,5.4,1.5,17.5,2.2,-0.3,1.1,2.4,B,4.9,1.1,11.8,0.8,19.2,3.1,5,12.7,Free Agent,9
142,"Cobb, Randall GBP WR",93.4,6.23,8.5,7, ,10.4,2.9,2.8,1.5,B,5.9,6,3.4,11.8,0,3.9,14.4,1.6,13.3,Tasty Reubens,8
143,"Fairbairn, Ka'imi HOU PK",92,5.75,1,7,15,15,2,5,B,8,2,1,7,10,7,4,1,0,7,Tasty Reubens,7
144,"Lee, Marqise JAC WR",91.9,6.56,0,7.6,6.5,1.8,4.9,10,7.2,B,13.5,13.5,4.5,1.3,14.6,6.5,0, , ,Free Agent (I),8
145,"Crowder, Jamison WAS WR",91.3,6.09,-1.6,4.7,2.2,-0.7,B,2.6,3.1,13.5, ,8.1,7.6,20.1,3.7,3.4,11.5,10.7,2.4,Free Agent,5
146,"Cole, Keelan JAC WR",89.8,5.61,0,1.3,1.3,1,0.4,0.7,6.4,B,4.7,6.1,2.4,3,10.9,15.9,24.6,10.8,0.3,Free Agent,8
147,"Parkey, Cody MIA PK",89,5.56,B,13,0,0,4,8,7,0,4,3,8,5,7,9,10,7,4,Free Agent,1
148,"Beathard, C.J. SFO QB",88.8,12.69, , , ,0, ,14.2,12.4,10.7,16.4,28,B,7.1, , , , , ,Free Agent,11
149,"Jackson, DeSean TBB WR",88.6,6.33,B,3.9,14.4,2,10.6,9.8,7.3,3.7,3.3,8.2,8.8,6,2.4,6.4,1.8, , ,Free Agent (Q),1
150,"Benjamin, Kelvin BUF WR",87.2,6.23,2.5,7.7,0.8,10.4,11.8,B,6.5,9.9, ,4.2,2, , ,9.8,2,7,2.7,Free Agent,6
